date,market_excess_returns,SMB,HML,risk_free_rate,amazon_price
20180629,0.07,-0.19,-0.24,0.006,185.11
20180702,0.36,0.45,-0.35,0.008,187.18
20180703,-0.44,0.76,0.09,0.008,183.92
20180705,0.87,0.42,-0.4,0.008,185.4
20180706,0.87,0.07,-0.38,0.008,187.97
20180709,0.93,-0.37,0.78,0.008,190.58
20180710,0.21,-0.81,-0.08,0.008,190.35
20180711,-0.69,0,-0.53,0.008,187.88
20180712,0.86,-0.33,-1.08,0.008,191.03
20180713,0.08,-0.12,-0.29,0.008,191.33
20180716,-0.16,-0.73,0.84,0.008,190.91
20180717,0.48,0.24,-0.68,0.008,191.45
20180718,0.27,-0.25,0.61,0.008,190.4
20180719,-0.34,0.97,-0.37,0.008,191.88
20180720,-0.1,-0.17,0.08,0.008,191.44
20180723,0.15,-0.24,0.38,0.008,191.61
20180724,0.22,-1.38,0.52,0.008,193
20180725,0.83,-0.39,-1.21,0.008,194.82
20180726,-0.2,0.64,0.61,0.008,194.21
20180727,-0.82,-1.38,1.15,0.008,190.98
20180730,-0.7,-0.25,1.66,0.008,189.91
20180731,0.51,0.78,-0.96,0.008,190.29
20180801,-0.13,0.1,-0.3,0.007,201.5
20180802,0.67,0.37,-0.73,0.007,207.39
20180803,0.31,-1.06,0.55,0.007,207.99
20180806,0.46,0.27,-0.32,0.007,209.07
20180807,0.29,0.01,-0.13,0.007,207.11
20180808,-0.04,-0.13,0.23,0.007,207.25
20180809,-0.05,0.38,-0.32,0.007,208.88
20180810,-0.6,0.43,-0.23,0.007,207.53
20180813,-0.46,-0.16,-0.31,0.007,208.87
20180814,0.69,0.32,0.2,0.007,209.75
20180815,-0.91,-0.55,-0.14,0.007,210.24
20180816,0.86,-0.08,0.27,0.007,213.32
20180817,0.3,0.08,0.04,0.007,217.58
20180820,0.25,0.12,0.17,0.007,215.46
20180821,0.33,0.87,0.15,0.007,215.04
20180822,0.05,0.41,-0.45,0.007,215.05
20180823,-0.19,-0.05,-0.33,0.007,215.49
20180824,0.62,-0.04,-0.51,0.007,216.16
20180827,0.74,-0.69,-0.11,0.007,217.94
20180828,-0.01,-0.12,-0.29,0.007,219.7
20180829,0.56,-0.04,-0.59,0.007,222.98
20180830,-0.41,0.3,-0.43,0.007,225.03
20180831,0.08,0.5,-0.43,0.007,227.63
20180904,-0.11,-0.33,-0.08,0.008,228.36
20180905,-0.41,-0.19,0.69,0.008,226.87
20180906,-0.44,-0.39,-0.13,0.008,223.1
20180907,-0.18,0.08,-0.21,0.008,221.3
20180910,0.23,0.1,-0.33,0.008,218.33
20180911,0.37,-0.3,-0.21,0.008,223.85
20180912,0.03,-0.09,-0.06,0.008,221.07
20180913,0.45,-0.44,-0.39,0.008,226.41
20180914,0.12,0.26,0.25,0.008,223.84
20180917,-0.71,-0.47,0.92,0.008,217.88
20180918,0.57,0.07,-0.53,0.008,218.24
20180919,0.06,-0.62,1.17,0.008,218.37
20180920,0.77,0.3,-0.18,0.008,220.03
20180921,-0.13,-0.44,0.38,0.008,217.66
20180924,-0.31,0.03,-0.87,0.008,220.79
20180925,-0.05,0.3,-0.44,0.008,222.19
20180926,-0.4,-0.4,-0.58,0.008,220.42
20180927,0.27,-0.26,-0.57,0.008,224.95
20180928,-0.03,0.4,-0.19,0.008,225.74
20181001,0.16,-1.63,0.37,0.008,227.26
20181002,-0.21,-1,0.66,0.008,229.28
20181003,0.2,0.88,0.44,0.008,232.07
20181004,-0.93,-1.04,1.54,0.008,227.99
20181005,-0.64,-0.4,0.39,0.008,224.29
20181008,-0.17,-0.38,1.19,0.008,223.77
20181009,-0.18,-0.26,0.17,0.008,226.87
20181010,-3.33,0.28,1.14,0.008,216.36
20181011,-1.96,0.43,-0.89,0.008,214.45
20181012,1.38,-0.88,-1.69,0.008,222.11
20181015,-0.48,0.92,0.47,0.008,217.36
20181016,2.24,0.68,-1.45,0.008,222.15
20181017,-0.08,-0.64,0.18,0.008,221.19
20181018,-1.54,-0.57,0.52,0.008,216.02
20181019,-0.25,-1.32,0.8,0.008,219.31
20181022,-0.38,0.44,-1.19,0.008,220.65
20181023,-0.62,-0.14,-0.33,0.008,222.73
20181024,-3.33,-0.88,0.62,0.008,215.09
20181025,1.93,0.47,-0.72,0.008,219.8
20181026,-1.65,0.56,0.36,0.008,216.3
20181029,-0.77,-0.29,1.63,0.008,212.24
20181030,1.66,0.37,0.11,0.008,213.3
20181031,1.22,-0.63,-0.69,0.008,218.86
20181101,1.29,1.3,-1.1,0.008,222.22
20181102,-0.53,0.8,0.64,0.008,207.48
20181105,0.4,-0.98,1.55,0.008,201.59
20181106,0.58,-0.15,0.04,0.008,203.77
20181107,2.11,-0.33,-1.03,0.008,209.95
20181108,-0.28,-0.24,0.22,0.008,208.49
20181109,-1.04,-0.91,0.38,0.008,204.47
20181112,-2.06,0,0.96,0.008,194.17
20181113,-0.13,-0.1,0.07,0.008,192.23
20181114,-0.77,-0.02,-0.2,0.008,186.8
20181115,1.18,0.37,-0.55,0.008,191.41
20181116,0.15,0,-0.01,0.008,193.53
20181119,-1.88,-0.66,2.32,0.008,185.86
20181120,-1.85,0.14,-0.63,0.008,176.98
20181121,0.51,0.97,-0.3,0.008,176.78
20181123,-0.55,0.79,-0.57,0.008,172.29
20181126,1.62,-0.67,-0.18,0.008,174.62
20181127,0.11,-1.07,0.27,0.008,174.24
20181128,2.42,0.48,-1.27,0.008,180.94
20181129,-0.22,-0.12,-0.17,0.008,179.55
20181130,0.78,-0.35,-0.38,0.008,178.58
20181203,1.13,-0.07,-0.7,0.01,184.82
20181204,-3.45,-0.97,-0.12,0.01,176.69
20181206,-0.16,0.1,-1,0.01,174.72
20181207,-2.36,0.23,1.29,0.01,168.49
20181210,0.1,-0.22,-1.57,0.01,169.6
20181211,-0.08,-0.08,-0.35,0.01,168.63
20181212,0.68,0.55,-0.13,0.01,169.1
20181213,-0.26,-1.5,-0.17,0.01,170.95
20181214,-1.89,-0.1,0.59,0.01,165.48
20181217,-2.13,-0.26,0.98,0.01,163.94
20181218,-0.03,0,-0.55,0.01,166.07
20181219,-1.58,-0.65,0.17,0.01,160.89
20181220,-1.62,-0.23,0.77,0.01,156.83
20181221,-2.17,-0.58,0.83,0.01,150.73
20181224,-2.55,0.99,-0.45,0.01,146.83
20181226,5.06,-0.01,-1.05,0.01,157.17
20181227,0.78,-0.67,-0.08,0.01,156.15
20181228,-0.03,0.74,0.25,0.01,156.23
20181231,0.9,-0.09,-0.47,0.01,157.74
20190102,0.23,0.57,1.15,0.01,157.92
20190103,-2.45,0.39,1.22,0.01,142.19
20190104,3.55,0.44,-0.73,0.01,148.26
20190107,0.94,0.94,-0.66,0.01,147.93
20190108,1.01,0.5,-0.53,0.01,150.75
20190109,0.56,0.5,-0.05,0.01,153.31
20190110,0.42,0,-0.41,0.01,153.8
20190111,-0.01,0.1,0.3,0.01,152.29
20190114,-0.6,-0.56,0.87,0.01,150
20190115,1.06,0,-0.88,0.01,153.07
20190116,0.28,0.11,0.83,0.01,154.94
20190117,0.75,0.1,-0.19,0.01,155.86
20190118,1.29,-0.35,0.12,0.01,156.82
20190122,-1.53,-0.38,0.3,0.01,153.3
20190123,0.15,-0.41,-0.13,0.01,153.92
20190124,0.23,0.45,-0.09,0.01,152.7
20190125,0.9,0.47,-0.36,0.01,157.76
20190128,-0.8,-0.17,0.66,0.01,156.3
20190129,-0.19,0,0.17,0.01,154.68
20190130,1.51,-0.1,-1.06,0.01,165.25
20190131,0.92,0.13,-1.08,0.01,166.44
20190201,0.14,-0.12,0.34,0.01,166.52
20190204,0.72,0.52,-0.57,0.01,171.25
20190205,0.43,-0.1,-0.56,0.01,174.18
20190206,-0.22,-0.01,0.01,0.01,174.24
20190207,-0.93,-0.14,0.41,0.01,170.94
20190208,0.09,0.03,-0.68,0.01,170.41
20190211,0.14,0.64,0.21,0.01,169.43
20190212,1.36,0.03,-0.24,0.01,170.89
20190213,0.28,0.08,0.05,0.01,170.18
20190214,-0.21,0.5,-0.55,0.01,170.8
20190215,1.13,0.24,0.53,0.01,170.42
20190219,0.19,0.28,0.32,0.01,170.93
20190220,0.19,0.21,0.59,0.01,172.03
20190221,-0.37,-0.07,-0.26,0.01,171.06
20190222,0.65,0.51,-1.37,0.01,172.97
20190225,0.15,-0.24,-0.2,0.01,174.23
20190226,-0.16,-0.63,-0.32,0.01,174.33
20190227,0.09,0.22,-0.16,0.01,174.87
20190228,-0.31,0.01,-0.27,0.01,173.15
20190301,0.72,0.32,-0.48,0.009,174.97
20190304,-0.52,-0.38,0.32,0.009,175.85
20190305,-0.17,-0.31,-0.22,0.009,175.53
20190306,-0.84,-1.27,0.08,0.009,174.52
20190307,-0.82,-0.07,-0.28,0.009,172.5
20190308,-0.22,0.04,-0.13,0.009,172.91
20190311,1.49,0.33,-0.49,0.009,178.9
20190312,0.25,-0.27,-0.05,0.009,180.91
20190313,0.68,-0.31,0.02,0.009,181.71
20190314,-0.1,-0.39,0.26,0.009,183.73
20190315,0.48,-0.27,-0.28,0.009,186.12
20190318,0.46,0.16,0.34,0.009,188.02
20190319,-0.09,-0.38,-0.89,0.009,186.53
20190320,-0.39,-0.01,-0.99,0.009,188.16
20190321,1.11,0.25,-1.12,0.009,195.09
20190322,-2.17,-1.56,0.06,0.009,191.05
20190325,-0.05,0.65,-0.3,0.009,188.74
20190326,0.76,0.19,0.43,0.009,186.79
20190327,-0.5,0.09,0.51,0.009,188.47
20190328,0.4,0.39,-0.1,0.009,188.72
20190329,0.66,-0.26,-0.84,0.009,189.95
20190401,1.19,-0.29,0.96,0.01,191.24
20190402,-0.05,-0.14,-0.4,0.01,194.02
20190403,0.27,0.2,-0.37,0.01,195.35
20190404,0.19,0.21,0.96,0.01,195.69
20190405,0.52,0.51,-0.01,0.01,197
20190408,0.08,-0.3,0.12,0.01,200.1
20190409,-0.65,-0.58,-0.08,0.01,199.5
20190410,0.47,0.94,-0.05,0.01,200.62
20190411,0,-0.34,0.43,0.01,198.95
20190412,0.65,-0.53,0.69,0.01,198.87
20190415,-0.09,-0.21,-0.59,0.01,199.23
20190416,0.13,0.14,0.64,0.01,199.25
20190417,-0.32,-0.68,0.77,0.01,203.13
20190418,0.11,-0.26,-0.46,0.01,203.86
20190422,0.11,-0.44,-0.55,0.01,204.53
20190423,0.97,0.73,-0.58,0.01,207.48
20190424,-0.23,0.31,-0.22,0.01,207.16
20190425,-0.14,-0.7,-0.27,0.01,205.28
20190426,0.53,0.43,0.05,0.01,204.3
20190429,0.18,0.12,0.61,0.01,204.61
20190430,-0.04,-0.71,0.27,0.01,200.67
