date,market_excess_returns,SMB,HML,risk_free_rate,amazon_price
20161026,-0.23,-0.84,0.75,0.001,115.59
20161027,-0.33,-0.96,0.6,0.001,114.48
20161028,-0.29,-0.1,0.11,0.001,113.72
20161031,0.02,0.03,0.13,0.001,113.54
20161101,-0.68,-0.36,0.17,0.001,111.49
20161102,-0.73,-0.66,0.36,0.001,111.59
20161103,-0.4,-0.46,1.02,0.001,109.83
20161104,-0.12,0.86,-0.42,0.001,108.84
20161107,2.23,0.21,-0.15,0.001,110.41
20161108,0.4,-0.07,-0.19,0.001,111.06
20161109,1.46,1.82,0.99,0.001,110.88
20161110,0.32,1.14,1.81,0.001,107.79
20161111,0.18,2.5,-0.04,0.001,108.43
20161114,0.21,0.58,1.42,0.001,105.71
20161115,0.8,-0.55,0.14,0.001,107.11
20161116,-0.12,0.3,-0.56,0.001,109.99
20161117,0.56,0.13,-0.13,0.001,109.95
20161118,-0.16,0.56,0.39,0.001,110.06
20161121,0.77,-0.26,0.08,0.001,111.73
20161122,0.31,0.54,0.58,0.001,111.8
20161123,0.16,0.52,0.19,0.001,111.23
20161125,0.4,-0.08,-0.24,0.001,111.79
20161128,-0.64,-0.77,0.06,0.001,111.57
20161129,0.11,-0.36,-0.07,0.001,111.46
20161130,-0.25,-0.39,2.25,0.001,110.52
20161201,-0.36,-0.66,2.06,0.001,109.49
20161202,0,0.05,-0.32,0.001,109.9
20161205,0.75,1.09,0.28,0.001,109.11
20161206,0.48,0.63,0.23,0.001,109.95
20161207,1.26,-0.63,0.53,0.001,111.03
20161208,0.36,1.15,0.58,0.001,112.12
20161209,0.46,-0.28,0.12,0.001,113.95
20161212,-0.3,-0.94,-0.11,0.001,113.3
20161213,0.6,-0.51,-0.29,0.001,115.19
20161214,-0.82,-0.36,-0.29,0.001,115.19
20161215,0.46,0.37,0.28,0.001,115.82
20161216,-0.22,0.05,-0.42,0.001,115.97
20161219,0.22,0.31,0.08,0.001,116.64
20161220,0.44,0.42,0.68,0.001,116.95
20161221,-0.24,-0.38,0.24,0.001,117.06
20161222,-0.3,-0.75,0.24,0.001,116.29
20161223,0.19,0.56,-0.52,0.001,116.52
20161227,0.27,0.21,0.13,0.001,117.26
20161228,-0.87,-0.27,0.08,0.001,116.76
20161229,-0.04,0.13,-0.31,0.001,116.73
20161230,-0.52,-0.11,0.2,0.001,115.82
20170103,0.83,-0.11,0.09,0.002,116.15
20170104,0.79,0.96,-0.15,0.002,116.02
20170105,-0.21,-0.87,-0.8,0.002,116.61
20170106,0.29,-0.63,-0.32,0.002,117.91
20170109,-0.37,-0.27,-1.03,0.002,118.99
20170110,0.16,0.97,0.56,0.002,119.11
20170111,0.31,-0.31,0.53,0.002,119.75
20170112,-0.3,-0.57,-0.88,0.002,119.25
20170113,0.29,0.63,-0.08,0.002,119.04
20170117,-0.49,-0.86,-0.59,0.002,120
20170118,0.24,0.17,0.23,0.002,119.99
20170119,-0.38,-0.5,-0.03,0.002,119.78
20170120,0.33,0.06,0.18,0.002,120
20170123,-0.29,-0.02,-0.3,0.002,120.08
20170124,0.83,0.68,0.81,0.002,119.97
20170125,0.84,0.15,0.35,0.002,121.88
20170126,-0.1,-0.62,0.38,0.002,121.94
20170127,-0.12,0.03,-0.67,0.002,121.95
20170130,-0.68,-0.72,-0.41,0.002,121.63
20170131,0,0.88,-0.55,0.002,121.35
20170201,0.04,-0.05,0.02,0.002,128.75
20170202,-0.02,-0.26,-0.31,0.002,128.53
20170203,0.82,0.55,0.65,0.002,129.08
20170206,-0.27,-0.57,-0.2,0.002,130.29
20170207,-0.01,-0.29,-0.51,0.002,131.53
20170208,0.06,-0.24,-0.53,0.002,132.04
20170209,0.72,0.7,0.03,0.002,132.42
20170210,0.38,0.38,0.12,0.002,132.12
